name,weight,nutrition,price,group_ingredient
Extra Virgin Olive Oil,22,229,0.72,SAUCE
Albacore Tuna,33,237,1.67,SAUCE
Coffee,114,82,1.09,BASIC
Jarrahdale Pumpkin,197,44,1.25,EXTRA
Tabasco,98,181,1,EXTRA
Olives,24,54,0.48,BASIC
Beef,105,191,0.71,BASIC
Turmeric,90,13,0.93,SAUCE
Shiitake Mushrooms,151,153,0.2,EXTRA
Cumquat,99,94,0.13,EXTRA
Honeydew Melon,67,131,0.92,SAUCE
Apple Juice Concentrate,152,8,0.14,EXTRA
Squid,77,96,1.16,BASIC
Red Cabbage,15,37,0.02,EXTRA
Brown Rice,129,53,0.19,EXTRA
White rice,122,154,0.44,SAUCE
Bonito Flakes,115,2,0.44,SAUCE
Almond Oil,36,248,0.9,SAUCE
Mangosteens,123,229,1.9,SAUCE
Fenugreek,108,81,1.99,BASIC
